question_id,title,link,score,creation_date,tags,question_body,accepted_answer_body
79541585,SDcard mounted as read-only on QNX,https://stackoverflow.com/questions/79541585/sdcard-mounted-as-read-only-on-qnx,0,1743169164,qnx,"<p>I'm using QNX 7.1 on a Zynq Ultrascale+.</p>
<p>The SDCard has been formatted on a PC with FAT32 and contains boot.bin and qnx-ifs (the boot and OS images).</p>
<p>I'm trying to initialise and mount the card as follows:</p>
<pre><code>devb-sdmmc-xzynq cam quiet sdio addr=0xxxx, irq=xxx blk ramdisk=64
waitfor /dev/hd0
mount -v -t dos exe=all /dev/hd0t12 /appli
</code></pre>
<p>I am able to read the content of the SDcard in <code>/appli</code> but when I try to write it I've got a message <code>read-only file system</code>. A <code>ls -l</code> indeed shows that <code>/dev/hd0</code> is read-only but <code>/appli</code> is read-write.</p>
<p>I tried to add options to io-blk driver like this:</p>
<pre><code>devb-sdmmc-xzynq cam quiet sdio addr=0xFF160000,irq=80 blk rw,perms,0777,ramdisk=64
</code></pre>
<p>but it doesn't change.</p>
<p>Any idea ?</p>
",
79514323,qnx8.0 crosscompile boost for x86 to aarch64,https://stackoverflow.com/questions/79514323/qnx8-0-crosscompile-boost-for-x86-to-aarch64,-1,1742208008,"boost, qnx","<p>im having trouble with using lidar sensor with ros2
but my env is qnx raspberrypi4 aarch64 so i crosscompile ros2 and it was so harsh for me it took nealy a week
any way i finally success
but basic custom package run well, there are some issues that i need more packages like boost  but i can't crosscompile this file please help me
i aready search many references though i won't help</p>
<pre><code>CMakeLists.txt  LICENSE_1_0.txt  b2      boost-build.jam  boostcpp.jam   build_log.txt  index.html  project-config.jam  tools
</code></pre>
<p>INSTALL         README.md        bin.v2  boost.css        bootstrap.bat  doc            libs        rst.css
Jamroot         appveyor.yml     boost   boost.png        bootstrap.sh   index.htm      more        status</p>
<p>this is my files that i clone on <a href=""https://gitlab.com/qnx/ports/boost"" rel=""nofollow noreferrer"">https://gitlab.com/qnx/ports/boost</a> this site</p>
<p>i already tried bootstrap.sh and tried b2 with options</p>
<p>is there any compiledfile?</p>
",
79489639,ARM64-QNX : Mprotect give permission denied,https://stackoverflow.com/questions/79489639/arm64-qnx-mprotect-give-permission-denied,0,1741270467,"arm64, qnx, qnx-neutrino, qnx-ifs","<p>I want to modify the text segment. Using <code>mprotect</code>, I could make the segment writable and update the required data. This is working fine with ARM64-Linux, but on ARM64-QNX, it is giving permission denied.</p>
<pre><code>if (mprotect(page_start_address, page_size, PROT_READ | PROT_WRITE) == -1)
{
       perror(&quot;mprotect&quot;);
       return 1;
}
</code></pre>
<p>We are running an application with the root user. Also, we don't want to use mmap as loading text segment of larger application may not feasible solution.</p>
<p>We had set the required program capabilities, which is not giving any error.</p>
<pre><code>int set_process_abilities()
{
    // Use ThreadCtl to gain debugging privileges
    if (ThreadCtl(_NTO_TCTL_IO, NULL) == -1)
    {
        perror(&quot;ThreadCtl IO failed&quot;);
        return -1;
    }
    if (ThreadCtl(_NTO_TCTL_HYP_VCPU, NULL) == -1)
    {
        perror(&quot;ThreadCtl HYP_VCPU failed&quot;);
        return -1;
    }

    // Get all debugging capabilities in a safer way
    int ret = procmgr_ability(0,
                              PROCMGR_ADN_ROOT | PROCMGR_AOP_ALLOW | PROCMGR_AID_PROT_EXEC,
                              PROCMGR_ADN_ROOT | PROCMGR_AOP_ALLOW | PROCMGR_AID_MEM_GLOBAL,
                              PROCMGR_ADN_ROOT | PROCMGR_AOP_ALLOW | PROCMGR_AID_PROT_WRITE_AND_EXEC,
                              PROCMGR_ADN_ROOT | PROCMGR_AOP_ALLOW | PROCMGR_AID_INTERRUPT,
                              PROCMGR_ADN_ROOT | PROCMGR_AOP_ALLOW | PROCMGR_AID_PRIORITY,
                              PROCMGR_ADN_ROOT | PROCMGR_AOP_ALLOW | PROCMGR_AID_IO,
                              PROCMGR_ADN_ROOT | PROCMGR_AOP_ALLOW | PROCMGR_AID_TRACE,
                              PROCMGR_ADN_ROOT | PROCMGR_AOP_ALLOW | PROCMGR_AID_MEM_PHYS,
                              PROCMGR_ADN_ROOT | PROCMGR_AOP_ALLOW | PROCMGR_AID_MEM_PEER,
                              PROCMGR_ADN_ROOT | PROCMGR_AOP_ALLOW | PROCMGR_AID_CONFSET,
                              PROCMGR_ADN_ROOT | PROCMGR_AOP_ALLOW | PROCMGR_AID_HYP,
                              PROCMGR_ADN_ROOT | PROCMGR_AOP_ALLOW | PROCMGR_AID_MEM_LOCK,
                              PROCMGR_AID_EOL);

    if (ret &lt; 0)
    {
        perror(&quot;Failed to set process abilities&quot;);
        return -1;
    }

    printf(&quot;Initial program ability ret code %d\n&quot;, ret);
    return ret;
}

</code></pre>
<p>We have tried to explore the procnto attributes, but this has not resolved the issue either.</p>
<pre><code>pidin arg | grep procnto is:  procnto-smp-instr -mgw -wx -F 70000
</code></pre>
",
79456441,TimerTimeout is not working when MsgReply is delayed,https://stackoverflow.com/questions/79456441/timertimeout-is-not-working-when-msgreply-is-delayed,1,1740117225,"qnx, qnx-neutrino, blackberry-qnx","<p>I am trying to make timertimeout at client side ,when we delayed msgreply from server to client</p>
<p>printing proper without timertimeout even we delayed</p>
<p><strong>client code:</strong></p>
<pre><code> if (TimerTimeout(CLOCK_REALTIME, _NTO_TIMEOUT_SEND | _NTO_TIMEOUT_REPLY, &amp;event, 
    &amp;timeout, NULL) == -1) {
    perror(&quot;❌ TimerTimeout failed&quot;);
    name_close(coid);
    return EXIT_FAILURE;
}

printf(&quot;✅ TimerTimeout successfully set.\n&quot;);
printf(&quot;📤 Sending message: %d\n&quot;, msg.data);

// Send the message and wait for a response
int status = MsgSend(coid, &amp;msg, sizeof(msg), &amp;msg, sizeof(msg));

    printf(&quot;📩 Server received message: %d, delaying response...\n&quot;, msg.data);
        sleep(10);  // Simulate 10-sec delay (longer than the 2-sec timeout in client)

        if (MsgReply(rcvid, 0, &amp;msg, sizeof(msg)) == -1) {
            perror(&quot;MsgReply failed&quot;);
        } else {
            printf(&quot;✅ Reply sent to client.\n&quot;);
       }
   }
</code></pre>
<p>Could you please help me or suggestion why timeout is not happening even i delayed response at msgreply side.</p>
<p><strong>server code</strong></p>
<pre><code> printf(&quot;📩 Server received message: %d, delaying response...\n&quot;, 
 msg.data);
    sleep(10);  // Simulate 10-sec delay (longer than the 2-sec 
    timeout in client)

    if (MsgReply(rcvid, 0, &amp;msg, sizeof(msg)) == -1) {
        perror(&quot;MsgReply failed&quot;);
    } else {
        printf(&quot;✅ Reply sent to client.\n&quot;);
    }
}
</code></pre>
",
79453480,Timertimeout not happening,https://stackoverflow.com/questions/79453480/timertimeout-not-happening,1,1740031758,"qnx, qnx-neutrino, blackberry-qnx","<p>I am trying to make timertimeout at client side ,when we delayed msgreply from server to client</p>
<p>printing proper without timertimeout even we delayed</p>
<p>client_code:
if (TimerTimeout(CLOCK_REALTIME, _NTO_TIMEOUT_SEND |
_NTO_TIMEOUT_REPLY, &amp;event, &amp;timeout, NULL) == -1) {
perror(&quot;TimerTimeout failed&quot;);
return EXIT_FAILURE;
}
else {
printf(&quot;✅ TimerTimeout successfully set.\n&quot;);
}
printf(&quot;🚀 Client sending message: %d\n&quot;, msg.data);</p>
<pre><code>    // Send the message and wait for a response
    int status = MsgSend(coid, &amp;msg, sizeof(msg), &amp;msg, sizeof(msg));

    if (status == -1) {
        if (errno == ETIMEDOUT) {
            printf(&quot;⏳Message send timed out! No response from server.\n&quot;);
        }
</code></pre>
<p>server_code:</p>
<pre><code>while (1) {
        struct my_msg_t msg;
        int rcvid = MsgReceive(attach-&gt;chid, &amp;msg, 
        sizeof(msg),NULL);
        if (rcvid == -1) {
            perror(&quot;MsgReceive failed&quot;);
            continue;
        }

        printf(&quot;📩 Server received message: %d, delaying response...\n&quot;, msg.data);
        sleep(10);  // Simulate 10-sec delay (longer than the 2-sec timeout in client)

       if (MsgReply(rcvid, 0, &amp;msg, sizeof(msg)) == -1) {
            perror(&quot;MsgReply failed&quot;);
        } else {
            printf(&quot;✅ Reply sent to client.\n&quot;);
        }
    }
</code></pre>
<p>why timertimeout not happening?
could you please help me ?</p>
",
79381529,Wrong compiler identified by CMake,https://stackoverflow.com/questions/79381529/wrong-compiler-identified-by-cmake,0,1737643701,"cmake, qnx","<p>we are using the QNX compiler in my project. In some CI/CD pipeline runs CMake does not identify the compiler properly.</p>
<p>In the correctly running pipelines I can see this output:</p>
<blockquote>
<p>The CXX compiler identification is QCC 12.2.0</p>
</blockquote>
<p>In the failing pipeline runs I can see:</p>
<blockquote>
<p>The CXX compiler identification is GNU 12.2.0</p>
</blockquote>
<p>Now I am trying to understand how CMake actually identifies the compiler id and I am struggling to understand it.</p>
<p>Any hints on how to approach this problem the best?</p>
<p>The CMake version we use is 3.28</p>
<p>Here is the output that I see in the 2nd case:</p>
<pre><code>-- The C compiler identification is GNU 12.2.0
-- The CXX compiler identification is GNU 12.2.0
-- Detecting C compiler ABI info
-- Detecting C compiler ABI info - done
-- Check for working C compiler: .../data/qnx-sdp8/2024.10.2/.../host/linux/x86_64/usr/bin/qcc - skipped
-- Detecting C compile features
-- Detecting C compile features - done
-- Detecting CXX compiler ABI info
-- Detecting CXX compiler ABI info - done
-- Check for working CXX compiler: .../data/qnx-sdp8/2024.10.2/.../host/linux/x86_64/usr/bin/qcc - skipped
-- Detecting CXX compile features
-- Detecting CXX compile features - done
</code></pre>
<p>Thank you</p>
",
79374151,location of physical_block_size file in QNX,https://stackoverflow.com/questions/79374151/location-of-physical-block-size-file-in-qnx,0,1737457722,"linux, qnx","<p>What is the <code>path</code> of <code>physical_block_size</code> file in QNX OS? Currently in my Linux OS, this is available at <code>/sys/block/sda/queue/physical_block_size</code>.</p>
",
79341426,Rust target OS for QNX,https://stackoverflow.com/questions/79341426/rust-target-os-for-qnx,0,1736399428,"rust, qnx","<p>I checked the list of target os platform that are supported by rust <a href=""https://doc.rust-lang.org/reference/conditional-compilation.html#target_os"" rel=""nofollow noreferrer"">https://doc.rust-lang.org/reference/conditional-compilation.html#target_os</a>. But I need to build the below sample code on a <code>QNX</code> platform. Since <code>QNX</code> belongs to <code>UNIX</code> os family, is the below code guaranteed to print the statement written on line <code>9</code> in <code>QNX</code>.</p>
<pre><code>const DEFAULT_BLOCK_SIZE: u64 = 4096;  // Common block size for many filesystems

fn main() {
    if let Ok(metadata) = std::fs::metadata(&quot;~/a.txt&quot;) {
        // Try platform-specific
        #[cfg(target_os = &quot;unix&quot;)]
        {
            use std::os::unix::fs::MetadataExt;
            println!(&quot;{}&quot;, metadata.blksize());
        }
    }
}
</code></pre>
<p><a href=""https://doc.rust-lang.org/std/os/unix/fs/trait.MetadataExt.html#tymethod.blksize"" rel=""nofollow noreferrer"">https://doc.rust-lang.org/std/os/unix/fs/trait.MetadataExt.html#tymethod.blksize</a></p>
<p>Also can somebody suggest a website/portal to check the rust code functionality on various target os.</p>
",
77125615,How to use valgrind on QNX platform,https://stackoverflow.com/questions/77125615/how-to-use-valgrind-on-qnx-platform,0,1695026069,"c, valgrind, qnx, blackberry-qnx","<p>According to the <a href=""https://valgrind.org/info/platforms.html"" rel=""nofollow noreferrer"">official documents of valgrind</a>, QNX is not supported.
Howerver, I saw some questions about using valgrind on QNX. <a href=""https://stackoverflow.com/questions/41453907/how-to-run-valgrind-with-qnx-binaries"">question1</a>
<a href=""https://stackoverflow.com/questions/73078569/valgrind-in-qnx-cant-access-shared-library-error"">question2</a>.
This confused me. Is it possible to run Valgrind on QNX?
If it is possible, how can this be achieved?
Perhaps compiling an executable file that compatible with the QNX platform? or is there a way to download the correct files?</p>
<p>I found the <a href=""https://community.qnx.com/sf/frs/do/viewRelease/projects.valgrind/frs.valgrind.valgrind_3_10;jsessionid=OEBZSSQUfLf5gV+W-ht7wdVW.tf"" rel=""nofollow noreferrer"">Valgrind project</a> on QNX community.
<a href=""https://i.sstatic.net/wVbju.png"" rel=""nofollow noreferrer"">I downloaded the package.</a>
Howerver, it did not contain files about the arm64/aarch64 architecture which I needed.</p>
","<p>You will probably need to download the source (from here <a href=""https://community.qnx.com/sf/scm/do/listRepositories/projects.valgrind/scm"" rel=""nofollow noreferrer"">https://community.qnx.com/sf/scm/do/listRepositories/projects.valgrind/scm</a>) and build it.</p>
<p>It doesn't look like it has been maintained for 7 years (Valgrind 3.11) so I think that getting it to build and work will be a substantial effort unless QNX and the toolchain have not changed much in the same time.</p>
"
79289093,Booting QNX image on Raspberry Pi 4 get stuck in rainbow screen,https://stackoverflow.com/questions/79289093/booting-qnx-image-on-raspberry-pi-4-get-stuck-in-rainbow-screen,0,1734462378,"raspberry-pi4, qnx","<p>I am following a tutorial (<a href=""https://gitlab.com/qnx/quick-start-images/raspberry-pi-qnx-8.0-quick-start-image/-/wikis/Getting-Started"" rel=""nofollow noreferrer"">https://gitlab.com/qnx/quick-start-images/raspberry-pi-qnx-8.0-quick-start-image/-/wikis/Getting-Started</a>) to flash QNX image onto Raspberry Pi 4. I copied the QNX image (com.qnx.qnx800.quickstart.rpi4) using Raspberry Pi Imager to the SD card without any issue. When I insert the SD card into the Raspberry Pi, I only see the rainbow screen without seeing the main QNX welcome page.</p>
<p>I am using a 32GB SanDisk SD card and a Raspberry Pi 4. I just need some help to troubleshoot the issue.</p>
",
